Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Fix_Fade_Long,Outcome,Entry,SL,TP,Fix_Fade_Short
2013-03-14 18:00:00,50.0,1.50495,Yes,Short,,Loss,1.50495,0,0,1.0
2013-04-02 18:00:00,61.2,1.51263,Yes,Long,1.0,Loss,1.51263,0,0,
2013-04-17 18:00:00,70.0,1.5232,Yes,Long,1.0,Win,1.5232,0,0,
2013-04-25 18:00:00,25.0,1.54383,Yes,Short,,Loss,1.54383,0,0,1.0
2013-05-08 18:00:00,19.0,1.55639,Yes,Short,,Win,1.55639,0,0,1.0
2013-05-21 18:00:00,0.0,1.51402,Yes,Long,1.0,Win,1.51402,0,0,
2013-05-22 18:00:00,0.0,1.50436,Yes,Long,1.0,Loss,1.50436,0,0,
2013-05-30 18:00:00,25.0,1.52154,Yes,Short,,Loss,1.52154,0,0,1.0
2013-06-03 18:00:00,26.6,1.52941,Yes,Short,,Loss,1.52941,0,0,1.0
2013-06-06 18:00:00,88.7,1.55211,Yes,Short,,Loss,1.55211,0,0,1.0
2013-06-18 18:00:00,65.3,1.56062,Yes,Long,1.0,Win,1.56062,0,0,
2013-06-27 18:00:00,0.0,1.52038,Yes,Long,1.0,Win,1.52038,0,0,
2013-07-03 18:00:00,0.0,1.52562,Yes,Short,,Loss,1.52562,0,0,1.0
2013-07-04 18:00:00,25.0,1.50642,Yes,Long,1.0,Win,1.50642,0,0,
2013-07-09 18:00:00,25.0,1.48291,Yes,Long,1.0,Win,1.48291,0,0,
2013-08-07 18:00:00,50.0,1.55153,Yes,Short,,Win,1.55153,0,0,1.0
2013-09-09 18:00:00,76.0,1.5719,Yes,Short,,Win,1.5719,0,0,1.0
2013-09-11 18:00:00,68.4,1.58106,Yes,Short,,Loss,1.58106,0,0,1.0
2013-10-09 18:00:00,25.0,1.59291,Yes,Long,1.0,Win,1.59291,0,0,
2013-10-17 18:00:00,25.0,1.61459,Yes,Short,,Loss,1.61459,0,0,1.0
2013-11-13 18:00:00,0.0,1.60304,Yes,Short,,Win,1.60304,0,0,1.0
2013-11-25 18:00:00,90.4,1.61436,Yes,Long,1.0,Win,1.61436,0,0,
2014-01-02 18:00:00,69.2,1.64379,Yes,Long,1.0,Win,1.64379,0,0,
