Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,NY_Sweep_Asia_Low,Outcome,Entry,SL,TP,NY_Sweep_Asia_High
2015-09-24 16:00:00,0.0,1.52186,Yes,Long,1.0,Win,1.52186,0,0,
2015-09-25 15:00:00,0.0,1.5162,Yes,Long,1.0,Win,1.5162,0,0,
2015-09-28 17:00:00,0.0,1.51763,Yes,Long,1.0,Loss,1.51763,0,0,
2015-09-29 15:00:00,25.0,1.51462,Yes,Long,1.0,Win,1.51462,0,0,
2015-09-30 19:00:00,0.0,1.51141,Yes,Long,1.0,Win,1.51141,0,0,
2015-10-02 16:00:00,25.0,1.52256,Yes,Short,,Win,1.52256,0,0,1.0
2015-10-06 23:00:00,50.0,1.52427,Yes,Short,,Loss,1.52427,0,0,1.0
2015-10-07 19:00:00,50.0,1.53131,Yes,Short,,Loss,1.53131,0,0,1.0
2015-10-08 15:00:00,57.3,1.52902,Yes,Long,1.0,Win,1.52902,0,0,
2015-10-09 18:00:00,75.1,1.53076,Yes,Long,1.0,Win,1.53076,0,0,
2015-10-14 23:00:00,57.6,1.54862,Yes,Short,,Win,1.54862,0,0,1.0
2015-10-15 16:00:00,58.3,1.54303,Yes,Long,1.0,Win,1.54303,0,0,
2015-10-20 22:00:00,80.9,1.54411,Yes,Long,1.0,Loss,1.54411,0,0,
2015-10-21 18:00:00,77.1,1.54585,Yes,Short,,Win,1.54585,0,0,1.0
2015-10-22 20:00:00,22.9,1.53857,Yes,Long,1.0,Win,1.53857,0,0,
2015-10-23 15:00:00,40.6,1.54131,Yes,Short,,Win,1.54131,0,0,1.0
2015-10-26 17:00:00,0.9,1.53603,Yes,Short,,Win,1.53603,0,0,1.0
2015-10-27 17:00:00,0.0,1.53028,Yes,Long,1.0,Win,1.53028,0,0,
2015-10-28 17:00:00,0.0,1.53242,Yes,Short,,Win,1.53242,0,0,1.0
2015-10-29 15:00:00,0.0,1.52529,Yes,Long,1.0,Win,1.52529,0,0,
2015-11-02 17:00:00,25.0,1.54271,Yes,Long,1.0,Loss,1.54271,0,0,
2015-11-03 21:00:00,25.0,1.54379,Yes,Short,,Win,1.54379,0,0,1.0
2015-11-04 16:00:00,1.4,1.53809,Yes,Long,1.0,Win,1.53809,0,0,
2015-11-09 18:00:00,0.0,1.51216,Yes,Short,,Win,1.51216,0,0,1.0
2015-11-10 16:00:00,0.0,1.51097,Yes,Long,1.0,Win,1.51097,0,0,
2015-11-13 15:00:00,25.0,1.52268,Yes,Short,,Loss,1.52268,0,0,1.0
2015-11-16 21:00:00,50.0,1.51978,Yes,Long,1.0,Loss,1.51978,0,0,
2015-11-17 16:00:00,0.0,1.52219,Yes,Short,,Win,1.52219,0,0,1.0
2015-11-18 18:00:00,50.1,1.52078,Yes,Long,1.0,Win,1.52078,0,0,
2015-11-19 17:00:00,72.9,1.52935,Yes,Short,,Win,1.52935,0,0,1.0
2015-11-23 21:00:00,38.0,1.51165,Yes,Long,1.0,Win,1.51165,0,0,
2015-11-24 15:00:00,0.0,1.50775,Yes,Long,1.0,Win,1.50775,0,0,
2015-11-25 17:00:00,0.0,1.50692,Yes,Long,1.0,Win,1.50692,0,0,
2015-11-26 20:00:00,50.0,1.50908,Yes,Long,1.0,Win,1.50908,0,0,
2015-11-30 18:00:00,25.0,1.50426,Yes,Short,,Loss,1.50426,0,0,1.0
2015-12-01 17:00:00,0.0,1.50532,Yes,Long,1.0,Win,1.50532,0,0,
2015-12-02 18:00:00,50.0,1.49261,Yes,Long,1.0,Win,1.49261,0,0,
2015-12-03 21:00:00,0.0,1.51551,Yes,Short,,Win,1.51551,0,0,1.0
