UA_Time,Trigger_Direction,HTF_Bullish_Prob_%,Close_Price,In_4h_Bear_FVG,1h_Bearish_Flip,In_4h_Bull_FVG,1h_Bullish_Flip
2023-08-22 16:00:00,Short,29.5,1.27422,1.0,1.0,,
2023-08-31 15:00:00,Long,50.0,1.26805,,,1.0,1.0
2023-10-06 11:00:00,Long,50.0,1.22035,,,1.0,1.0
2023-10-13 15:00:00,Long,24.8,1.21842,,,1.0,1.0
2023-11-02 11:00:00,Long,25.0,1.21853,,,1.0,1.0
2023-11-30 17:00:00,Long,70.3,1.2657,,,1.0,1.0
2023-12-05 13:00:00,Short,55.1,1.26221,1.0,1.0,,
2023-12-07 10:00:00,Short,0.5,1.25694,1.0,1.0,,
2023-12-11 14:00:00,Short,0.0,1.25771,1.0,1.0,,
2024-01-17 17:00:00,Long,0.0,1.26569,,,1.0,1.0
2024-02-06 13:00:00,Long,0.0,1.25539,,,1.0,1.0
2024-02-16 17:00:00,Long,25.0,1.2584,,,1.0,1.0
2024-02-20 13:00:00,Short,50.0,1.259,1.0,1.0,,
2024-03-14 12:00:00,Short,62.3,1.28108,1.0,1.0,,
2024-03-22 03:00:00,Short,50.0,1.26518,1.0,1.0,,
2024-03-22 16:00:00,Short,25.0,1.26058,1.0,1.0,,
2024-03-28 16:00:00,Short,25.0,1.26353,1.0,1.0,,
2024-03-29 16:00:00,Short,25.0,1.2638,1.0,1.0,,
2024-04-25 18:00:00,Long,50.0,1.24893,,,1.0,1.0
2024-05-08 15:00:00,Short,37.9,1.24837,1.0,1.0,,
2024-05-14 16:00:00,Long,51.1,1.2553,,,1.0,1.0
2024-08-09 17:00:00,Long,0.0,1.27452,,,1.0,1.0
2024-09-13 16:00:00,Long,25.0,1.31373,,,1.0,1.0
2024-09-20 19:00:00,Long,86.5,1.33039,,,1.0,1.0
2024-10-18 20:00:00,Long,25.0,1.30437,,,1.0,1.0
2024-10-21 12:00:00,Long,25.0,1.3026,,,1.0,1.0
2024-11-04 11:00:00,Long,25.0,1.29711,,,1.0,1.0
2024-12-03 21:00:00,Short,8.0,1.26676,1.0,1.0,,
2024-12-17 09:00:00,Long,50.0,1.26984,,,1.0,1.0
2025-01-07 15:00:00,Long,25.0,1.2542,,,1.0,1.0
2025-01-16 16:00:00,Long,50.0,1.21973,,,1.0,1.0
2025-01-23 11:00:00,Long,58.9,1.23166,,,1.0,1.0
2025-01-30 22:00:00,Short,39.9,1.24346,1.0,1.0,,
2025-01-31 20:00:00,Short,59.3,1.2396,1.0,1.0,,
2025-02-05 08:00:00,Long,52.1,1.24761,,,1.0,1.0
2025-02-24 10:00:00,Long,90.7,1.26478,,,1.0,1.0
2025-02-25 19:00:00,Long,59.4,1.26627,,,1.0,1.0
2025-03-10 11:00:00,Long,86.3,1.29086,,,1.0,1.0
2025-03-17 14:00:00,Long,31.2,1.29715,,,1.0,1.0
2025-03-24 13:00:00,Short,6.3,1.29442,1.0,1.0,,
2025-03-28 14:00:00,Long,25.0,1.29436,,,1.0,1.0
2025-04-02 15:00:00,Long,0.0,1.29477,,,1.0,1.0
2025-04-17 18:00:00,Short,77.3,1.32324,1.0,1.0,,
2025-04-24 14:00:00,Short,61.1,1.32999,1.0,1.0,,
2025-05-02 13:00:00,Long,0.2,1.33102,,,1.0,1.0
2025-05-27 17:00:00,Short,68.3,1.35424,1.0,1.0,,
2025-05-28 14:00:00,Short,69.5,1.34937,1.0,1.0,,
2025-06-02 22:00:00,Long,39.5,1.35404,,,1.0,1.0
2025-06-04 05:00:00,Long,7.4,1.35347,,,1.0,1.0
2025-06-04 16:00:00,Long,5.6,1.35427,,,1.0,1.0
2025-06-06 16:00:00,Short,52.1,1.35358,1.0,1.0,,
2025-06-09 18:00:00,Long,37.0,1.3545,,,1.0,1.0
2025-06-23 04:00:00,Short,25.0,1.34218,1.0,1.0,,
2025-06-23 12:00:00,Short,50.0,1.34144,1.0,1.0,,
2025-06-26 16:00:00,Long,52.0,1.37178,,,1.0,1.0
2025-07-01 19:00:00,Long,43.7,1.37239,,,1.0,1.0
2025-07-18 10:00:00,Long,50.0,1.34314,,,1.0,1.0
2025-07-28 17:00:00,Short,17.8,1.34152,1.0,1.0,,
2025-08-14 18:00:00,Long,97.1,1.35558,,,1.0,1.0
2025-08-18 12:00:00,Long,70.6,1.35462,,,1.0,1.0
2025-08-25 15:00:00,Long,25.0,1.3519,,,1.0,1.0
2025-10-08 12:00:00,Short,8.2,1.34083,1.0,1.0,,
2025-10-23 16:00:00,Long,11.5,1.33431,,,1.0,1.0
2025-10-28 11:00:00,Long,25.0,1.33171,,,1.0,1.0
2025-11-03 19:00:00,Short,0.0,1.31444,1.0,1.0,,
2025-11-11 11:00:00,Long,50.0,1.31295,,,1.0,1.0
2025-11-13 11:00:00,Short,2.4,1.31558,1.0,1.0,,
2025-11-21 13:00:00,Short,0.0,1.30449,1.0,1.0,,
2025-11-27 16:00:00,Short,50.8,1.32335,1.0,1.0,,
2025-12-25 02:00:00,Long,73.4,1.35017,,,1.0,1.0
2026-01-06 15:00:00,Long,25.0,1.35236,,,1.0,1.0
2026-02-03 14:00:00,Long,28.8,1.36818,,,1.0,1.0
2026-02-10 14:00:00,Long,25.0,1.36855,,,1.0,1.0
2026-02-23 15:00:00,Long,25.0,1.3506,,,1.0,1.0
2026-02-25 04:00:00,Long,25.0,1.35181,,,1.0,1.0
