Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Swept_AL_Into_FVG,1h_Bullish_Flip,Outcome,Entry,SL,TP,Swept_AH_Into_FVG,1h_Bearish_Flip
2005-08-22 13:00:00,4.4,1.7965,Yes,Short,,,Loss,1.7965,1.7985,1.7925,1.0,1.0
2005-08-22 15:00:00,28.2,1.8039,Yes,Short,,,Win,1.8039,1.8059,1.7999,1.0,1.0
2005-09-01 11:00:00,25.0,1.8047,Yes,Long,1.0,1.0,Win,1.8047,1.8027,1.8087,,
2005-09-09 16:00:00,32.5,1.8402,Yes,Long,1.0,1.0,Loss,1.8402,1.8382,1.8442,,
2005-09-09 17:00:00,32.5,1.8388,Yes,Long,1.0,1.0,Win,1.8388,1.8368,1.8428,,
2005-09-13 10:00:00,42.9,1.8189,Yes,Short,,,Loss,1.8189,1.8209,1.8149,1.0,1.0
2005-09-13 11:00:00,39.9,1.8218,Yes,Short,,,Loss,1.8218,1.8238,1.8178,1.0,1.0
2005-09-14 10:00:00,1.8,1.8245,Yes,Short,,,Loss,1.8245,1.8265,1.8205,1.0,1.0
2005-09-14 11:00:00,0.3,1.8258,Yes,Short,,,Win,1.8258,1.8278,1.8218,1.0,1.0
2005-09-16 22:00:00,0.0,1.8087,Yes,Long,1.0,1.0,Loss,1.8087,1.8067,1.8127,,
2005-09-19 21:00:00,0.0,1.8019,Yes,Short,,,Loss,1.8019,1.8039,1.7979,1.0,1.0
2005-09-20 22:00:00,50.0,1.7995,Yes,Short,,,Loss,1.7995,1.8015,1.7955,1.0,1.0
2005-10-11 13:00:00,0.0,1.7546,Yes,Short,,,Win,1.7546,1.7566,1.7506,1.0,1.0
2005-10-14 13:00:00,50.0,1.7514,Yes,Long,1.0,1.0,Loss,1.7514,1.7494,1.7554,,
2005-10-14 18:00:00,50.0,1.7664,Yes,Long,1.0,1.0,Win,1.7664,1.7644,1.7704,,
2005-10-19 10:00:00,25.0,1.745,Yes,Long,1.0,1.0,Win,1.745,1.743,1.749,,
2005-10-25 11:00:00,50.3,1.7696,Yes,Long,1.0,1.0,Win,1.7696,1.7676,1.7736,,
2005-11-01 09:00:00,25.4,1.7713,Yes,Short,,,Win,1.7713,1.7733,1.7673,1.0,1.0
2005-11-09 15:00:00,0.0,1.7448,Yes,Long,1.0,1.0,Loss,1.7448,1.7428,1.7488,,
2005-11-09 16:00:00,0.0,1.74,Yes,Long,1.0,1.0,Loss,1.74,1.738,1.744,,
2005-11-11 22:00:00,25.0,1.7425,Yes,Long,1.0,1.0,Win,1.7425,1.7405,1.7465,,
2005-11-21 18:00:00,50.0,1.7168,Yes,Short,,,Loss,1.7168,1.7188,1.7128,1.0,1.0
2005-11-21 19:00:00,50.0,1.718,Yes,Short,,,Win,1.718,1.72,1.714,1.0,1.0
2005-11-24 09:00:00,50.0,1.7238,Yes,Long,1.0,1.0,Win,1.7238,1.7218,1.7278,,
2005-12-01 13:00:00,58.7,1.7287,Yes,Long,1.0,1.0,Loss,1.7287,1.7267,1.7327,,
2005-12-01 15:00:00,60.8,1.7281,Yes,Long,1.0,1.0,Win,1.7281,1.7261,1.7321,,
2005-12-02 15:00:00,41.5,1.736,Yes,Long,1.0,1.0,Loss,1.736,1.734,1.74,,
2005-12-02 16:00:00,41.5,1.7277,Yes,Long,1.0,1.0,Win,1.7277,1.7257,1.7317,,
2005-12-06 12:00:00,74.9,1.7344,Yes,Long,1.0,1.0,Win,1.7344,1.7324,1.7384,,
2005-12-21 11:00:00,38.6,1.7517,Yes,Short,,,Win,1.7517,1.7537,1.7477,1.0,1.0
2005-12-28 15:00:00,25.0,1.7319,Yes,Short,,,Loss,1.7319,1.7339,1.7279,1.0,1.0
2005-12-29 17:00:00,25.0,1.7258,Yes,Long,1.0,1.0,Loss,1.7258,1.7238,1.7298,,
2006-01-06 11:00:00,41.0,1.7564,Yes,Long,1.0,1.0,Loss,1.7564,1.7544,1.7604,,
2006-01-06 12:00:00,41.0,1.755,Yes,Long,1.0,1.0,Win,1.755,1.753,1.759,,
2006-01-09 19:00:00,83.6,1.7679,Yes,Long,1.0,1.0,Loss,1.7679,1.7659,1.7719,,
2006-01-11 16:00:00,43.5,1.7609,Yes,Long,1.0,1.0,Loss,1.7609,1.7589,1.7649,,
2006-01-11 17:00:00,43.5,1.7608,Yes,Long,1.0,1.0,Win,1.7608,1.7588,1.7648,,
2006-01-17 11:00:00,76.6,1.7616,Yes,Short,,,Loss,1.7616,1.7636,1.7576,1.0,1.0
2006-01-17 12:00:00,76.6,1.7629,Yes,Short,,,Loss,1.7629,1.7649,1.7589,1.0,1.0
2006-01-24 14:00:00,57.3,1.7855,Yes,Long,1.0,1.0,Win,1.7855,1.7835,1.7895,,
2006-01-26 18:00:00,69.6,1.7832,Yes,Short,,,Win,1.7832,1.7852,1.7792,1.0,1.0
2006-01-27 15:00:00,45.2,1.7863,Yes,Short,,,Win,1.7863,1.7883,1.7823,1.0,1.0
2006-02-01 17:00:00,29.3,1.7797,Yes,Long,1.0,1.0,Loss,1.7797,1.7777,1.7837,,
2006-02-07 10:00:00,0.0,1.7478,Yes,Short,,,Loss,1.7478,1.7498,1.7438,1.0,1.0
2006-02-07 11:00:00,0.0,1.7501,Yes,Short,,,Win,1.7501,1.7521,1.7461,1.0,1.0
2006-02-10 01:00:00,0.0,1.7449,Yes,Long,1.0,1.0,Loss,1.7449,1.7429,1.7489,,
2006-02-13 16:00:00,25.0,1.7409,Yes,Long,1.0,1.0,Loss,1.7409,1.7389,1.7449,,
2006-02-21 17:00:00,25.0,1.7431,Yes,Long,1.0,1.0,Win,1.7431,1.7411,1.7471,,
2006-02-22 18:00:00,25.1,1.7426,Yes,Long,1.0,1.0,Win,1.7426,1.7406,1.7466,,
2006-03-08 09:00:00,26.6,1.7414,Yes,Short,,,Win,1.7414,1.7434,1.7374,1.0,1.0
2006-03-09 17:00:00,0.0,1.7374,Yes,Short,,,Loss,1.7374,1.7394,1.7334,1.0,1.0
2006-03-10 15:00:00,25.0,1.7319,Yes,Short,,,Win,1.7319,1.7339,1.7279,1.0,1.0
2006-03-15 16:00:00,50.0,1.7473,Yes,Long,1.0,1.0,Loss,1.7473,1.7453,1.7513,,
2006-03-15 17:00:00,50.0,1.7451,Yes,Long,1.0,1.0,Win,1.7451,1.7431,1.7491,,
2006-03-20 13:00:00,64.3,1.7532,Yes,Short,,,Loss,1.7532,1.7552,1.7492,1.0,1.0
2006-03-20 14:00:00,68.2,1.7559,Yes,Short,,,Win,1.7559,1.7579,1.7519,1.0,1.0
2006-04-05 13:00:00,50.1,1.7531,Yes,Long,1.0,1.0,Loss,1.7531,1.7511,1.7571,,
2006-04-06 16:00:00,56.6,1.7551,Yes,Short,,,Win,1.7551,1.7571,1.7511,1.0,1.0
