Datetime,Profile_Type,Close_Price,Price_ZScore
2015-11-04 13:00:00-05:00,Bullish Setup Detected,1.53622,-2.6678040053707632
2015-11-05 07:00:00-05:00,Bullish Setup Detected,1.52867,-4.290774221218966
2015-11-05 08:00:00-05:00,Bullish Setup Detected,1.52363,-4.593143113965094
2015-11-05 09:00:00-05:00,Bullish Setup Detected,1.52446,-3.6323664350558946
2015-11-05 10:00:00-05:00,Bullish Setup Detected,1.5249,-3.101092403520856
2015-11-05 11:00:00-05:00,Bullish Setup Detected,1.52322,-3.0721331705140926
2015-11-05 12:00:00-05:00,Bullish Setup Detected,1.52105,-3.0775986542754716
2015-11-05 13:00:00-05:00,Bullish Setup Detected,1.5213,-2.728944144850699
2015-11-05 14:00:00-05:00,Bullish Setup Detected,1.52091,-2.5455246587673717
2015-11-10 20:00:00-05:00,Bearish Setup Detected,1.51659,2.896802129415025
2015-11-10 21:00:00-05:00,Bearish Setup Detected,1.51697,2.867531824158549
2015-11-10 22:00:00-05:00,Bearish Setup Detected,1.51763,2.903141583428802
2015-11-11 08:00:00-05:00,Bearish Setup Detected,1.51918,2.548798576225529
2015-11-11 11:00:00-05:00,Bearish Setup Detected,1.52066,2.5306939086845426
2015-11-17 00:00:00-05:00,Bullish Setup Detected,1.51723,-2.522801479337829
2015-11-17 03:00:00-05:00,Bullish Setup Detected,1.51611,-2.7522221468319845
2015-11-18 20:00:00-05:00,Bearish Setup Detected,1.52831,3.5853541733708014
2015-11-18 21:00:00-05:00,Bearish Setup Detected,1.52712,2.708705360203887
2015-11-18 22:00:00-05:00,Bearish Setup Detected,1.52821,2.863076742907673
2015-11-18 23:00:00-05:00,Bearish Setup Detected,1.52836,2.667050722108362
2015-11-19 11:00:00-05:00,Bearish Setup Detected,1.53259,2.8082014464369727
2015-11-27 04:00:00-05:00,Bullish Setup Detected,1.50358,-3.138462752855723
2015-11-27 05:00:00-05:00,Bullish Setup Detected,1.50444,-2.5193336506174018
2015-12-01 03:00:00-05:00,Bearish Setup Detected,1.512,2.686337593884862
2015-12-02 08:00:00-05:00,Bullish Setup Detected,1.49951,-2.984542659775191
2015-12-02 09:00:00-05:00,Bullish Setup Detected,1.49697,-3.647158615186194
2015-12-02 10:00:00-05:00,Bullish Setup Detected,1.49414,-3.9676205941482094
